#,When,Who,Language,Time,Memory,Number_Class,Problem_name,Number,Class
12733968,Aug/28/2015 20:14,RedNextCentury,GNU C++,62 ms,0 KB,112A,Petya and Strings,112,A
173855668,Sep/28/2022 22:37,Bicso,GNU C++14,30 ms,0 KB,112A,Petya and Strings,112,A
166079240,Jul/29/2022 09:37,Anti_tourist4000,GNU C++17,30 ms,0 KB,112A,Petya and Strings,112,A
197974348,Mar/18/2023 17:26,Mounir_Maleh,GNU C++14,30 ms,0 KB,112A,Petya and Strings,112,A
177900454,Oct/25/2022 18:59,MuhannadW,GNU C++17,30 ms,0 KB,112A,Petya and Strings,112,A
202297964,Apr/15/2023 23:50,mohammed_kurdi,GNU C++20 (64),30 ms,0 KB,112A,Petya and Strings,112,A
104232047,Jan/14/2021 02:36,RetiringNextCentury,GNU C++14,62 ms,200 KB,112A,Petya and Strings,112,A
148110116,Mar/02/2022 14:56,AbdAR,GNU C++17,30 ms,0 KB,112A,Petya and Strings,112,A
169276845,Aug/21/2022 23:26,M.Qattan,GNU C++17,30 ms,0 KB,112A,Petya and Strings,112,A
159102668,May/31/2022 23:56,AbodeKu,GNU C++14,30 ms,0 KB,112A,Petya and Strings,112,A
197429900,Mar/14/2023 22:26,abdalrhman.alkafry,GNU C++17 (64),30 ms,0 KB,112A,Petya and Strings,112,A
162907829,Jul/05/2022 17:59,Alhomse,GNU C++20 (64),30 ms,0 KB,112A,Petya and Strings,112,A
164070471,Jul/13/2022 22:38,sarah.m.akkad,GNU C++17 (64),30 ms,0 KB,112A,Petya and Strings,112,A
34524551,Jan/24/2018 20:35,Bsher,GNU C++14,30 ms,1900 KB,112A,Petya and Strings,112,A
34524476,Jan/24/2018 20:32,SaeedSabbagh,GNU C++14,30 ms,1900 KB,112A,Petya and Strings,112,A
150384399,Mar/21/2022 20:06,_Salty,GNU C++17,30 ms,0 KB,112A,Petya and Strings,112,A
109185461,Mar/06/2021 03:03,Bassam1412,GNU C++17,62 ms,0 KB,112A,Petya and Strings,112,A
168432798,Aug/15/2022 22:19,Mohammad_Alassali,GNU C++17,30 ms,0 KB,112A,Petya and Strings,112,A
167744270,Aug/10/2022 14:45,7nooOoOoon,GNU C++17,30 ms,0 KB,112A,Petya and Strings,112,A
199608454,Mar/29/2023 04:50,Alaa_em_123,GNU C++20 (64),30 ms,0 KB,112A,Petya and Strings,112,A
123768879,Jul/25/2021 20:56,Ahmed-yaser,GNU C++17,62 ms,3800 KB,112A,Petya and Strings,112,A
71897215,Feb/26/2020 09:10,AhmadShahal,GNU C++14,62 ms,0 KB,112A,Petya and Strings,112,A
185277008,Dec/15/2022 14:02,Mounir_Maleh,GNU C++17,30 ms,0 KB,112A,Petya and Strings,112,A
193197163,Feb/11/2023 16:58,NawarAlTibi,GNU C++20 (64),0 ms,0 KB,112A,Petya and Strings,112,A
121570590,Jul/07/2021 17:12,Diab,GNU C++17,92 ms,0 KB,112A,Petya and Strings,112,A
172140706,Sep/14/2022 15:42,Wiaam_SA,GNU C++17,30 ms,0 KB,112A,Petya and Strings,112,A
58838408,Aug/15/2019 02:26,Raed_Sb,GNU C++14,62 ms,0 KB,112A,Petya and Strings,112,A
109354020,Mar/07/2021 20:41,Alaa-Kaadan,GNU C++17,62 ms,0 KB,112A,Petya and Strings,112,A
148034658,Mar/01/2022 16:33,ZENGOO,GNU C++17,30 ms,0 KB,112A,Petya and Strings,112,A
150379544,Mar/21/2022 19:12,MouayadL7,GNU C++17,30 ms,0 KB,112A,Petya and Strings,112,A
95923863,Oct/18/2020 20:11,Tashleef,GNU C++14,62 ms,0 KB,112A,Petya and Strings,112,A
101775692,Dec/19/2020 16:31,Amr_Kart,GNU C++11,62 ms,0 KB,112A,Petya and Strings,112,A
148645536,Mar/06/2022 23:57,a7mad_taieb,GNU C++20 (64),30 ms,0 KB,112A,Petya and Strings,112,A
112879279,Apr/13/2021 01:26,amarashujaa,GNU C++17,62 ms,9800 KB,112A,Petya and Strings,112,A
202005864,Apr/14/2023 04:25,ShadyH6,GNU C++17,30 ms,0 KB,112A,Petya and Strings,112,A
196781140,Mar/10/2023 14:40,_s_h_a_m__,GNU C++17,30 ms,0 KB,112A,Petya and Strings,112,A
16426497,Feb/29/2016 16:18,Mohammad_Kartoumeh,GNU C++,30 ms,0 KB,112A,Petya and Strings,112,A
112186498,Apr/07/2021 03:13,_SADIEM_,GNU C++14,60 ms,800 KB,112A,Petya and Strings,112,A
149018143,Mar/09/2022 20:59,sanji333333,GNU C++17,30 ms,0 KB,112A,Petya and Strings,112,A
156888828,May/12/2022 09:13,dee..,GNU C++17,30 ms,0 KB,112A,Petya and Strings,112,A
175139390,Oct/08/2022 16:05,Mohammad_Alassali,GNU C++17,30 ms,0 KB,112A,Petya and Strings,112,A
62356018,Oct/11/2019 13:59,sepsa.m,GNU C++17,62 ms,0 KB,112A,Petya and Strings,112,A
127865053,Sep/04/2021 21:14,_SADIEM_,GNU C++17,62 ms,3700 KB,112A,Petya and Strings,112,A
104951426,Jan/21/2021 08:00,_SADIEM_,GNU C++14,62 ms,0 KB,112A,Petya and Strings,112,A
163179503,Jul/08/2022 10:18,sanji333333,GNU C++17,30 ms,0 KB,112A,Petya and Strings,112,A
85283344,Jun/28/2020 14:41,yaser.harba,GNU C++14,62 ms,3900 KB,112A,Petya and Strings,112,A
152783918,Apr/05/2022 20:11,7amzahsa,GNU C++20 (64),30 ms,0 KB,112A,Petya and Strings,112,A
181133760,Nov/15/2022 22:36,abd-alrzaq,GNU C++20 (64),30 ms,0 KB,112A,Petya and Strings,112,A
46228429,Nov/25/2018 22:34,Ahmad7_7,GNU C++17,60 ms,0 KB,112A,Petya and Strings,112,A
170822617,Sep/04/2022 12:35,ghina.alrefai,GNU C++20 (64),0 ms,0 KB,112A,Petya and Strings,112,A
186781555,Dec/26/2022 17:37,Diab,GNU C++20 (64),30 ms,0 KB,112A,Petya and Strings,112,A
153831044,Apr/16/2022 21:55,_SADIEM_,GNU C++20 (64),30 ms,0 KB,112A,Petya and Strings,112,A
187457944,Dec/31/2022 18:03,0xessam,GNU C++17,30 ms,0 KB,112A,Petya and Strings,112,A
107960049,Feb/19/2021 18:57,Brre.Hemo,GNU C++17,62 ms,0 KB,112A,Petya and Strings,112,A
67285064,Dec/20/2019 17:05,Brre.Hemo,GNU C++17,62 ms,0 KB,112A,Petya and Strings,112,A
184447974,Dec/09/2022 14:04,ShathaS2003,GNU C++17,30 ms,0 KB,339A,Helpful Maths,339,A
109284269,Mar/06/2021 20:48,Bassam1412,GNU C++17,62 ms,0 KB,339A,Helpful Maths,339,A
146885849,Feb/19/2022 05:12,Zeina_Albarre,GNU C++20 (64),30 ms,0 KB,339A,Helpful Maths,339,A
146885513,Feb/19/2022 05:02,Zeina_Albarre,GNU C++20 (64),30 ms,0 KB,339A,Helpful Maths,339,A
107199217,Feb/12/2021 18:11,Mohamed-Omran,GNU C++17,60 ms,0 KB,339A,Helpful Maths,339,A
187128153,Dec/29/2022 13:49,HASSAN_GH,GNU C++17,30 ms,0 KB,339A,Helpful Maths,339,A
197882764,Mar/18/2023 11:44,abdalrhman.alkafry,GNU C++17 (64),0 ms,0 KB,339A,Helpful Maths,339,A
180669758,Nov/12/2022 21:39,Ansam092,GNU C++17,0 ms,0 KB,339A,Helpful Maths,339,A
166164877,Jul/29/2022 23:54,Lanakhaled,GNU C++17 (64),30 ms,0 KB,339A,Helpful Maths,339,A
174359758,Oct/02/2022 14:29,ShathaS2003,GNU C++17,30 ms,0 KB,339A,Helpful Maths,339,A
148083509,Mar/02/2022 08:55,AbdAR,GNU C++17,30 ms,0 KB,339A,Helpful Maths,339,A
186690562,Dec/25/2022 20:07,MuhannadW,GNU C++17,30 ms,0 KB,339A,Helpful Maths,339,A
78491514,Apr/29/2020 18:20,3bdo_Farah,GNU C++14,30 ms,0 KB,339A,Helpful Maths,339,A
161216279,Jun/19/2022 14:16,Hamza_Alattar.1,GNU C++17,30 ms,0 KB,339A,Helpful Maths,339,A
148061797,Mar/01/2022 22:46,KHALED.TELLO,GNU C++17,30 ms,0 KB,339A,Helpful Maths,339,A
174868231,Oct/06/2022 17:34,Bicso,GNU C++14,30 ms,0 KB,339A,Helpful Maths,339,A
160917718,Jun/17/2022 06:55,Nour-Aldeen,GNU C++17,30 ms,0 KB,339A,Helpful Maths,339,A
180161300,Nov/09/2022 09:27,Abd_HM,GNU C++17,30 ms,0 KB,339A,Helpful Maths,339,A
106346994,Feb/03/2021 11:01,043_33798_Nuraiym-7,GNU C++17,62 ms,0 KB,339A,Helpful Maths,339,A
149632224,Mar/14/2022 18:54,obadaa.masri,GNU C++17,30 ms,0 KB,339A,Helpful Maths,339,A
164654637,Jul/17/2022 23:42,Conan_y65,GNU C++20 (64),30 ms,0 KB,339A,Helpful Maths,339,A
169647830,Aug/25/2022 23:22,sarah.m.akkad,GNU C++17,30 ms,0 KB,339A,Helpful Maths,339,A
160917083,Jun/17/2022 06:41,Nour-Aldeen,GNU C++17,30 ms,0 KB,339A,Helpful Maths,339,A
104369021,Jan/15/2021 02:18,RetiringNextCentury,GNU C++14,62 ms,0 KB,339A,Helpful Maths,339,A
156232102,May/07/2022 22:49,OmranMk,GNU C++17,30 ms,0 KB,339A,Helpful Maths,339,A
160916762,Jun/17/2022 06:33,obadaa.masri,GNU C++17,30 ms,0 KB,339A,Helpful Maths,339,A
153618788,Apr/14/2022 10:56,7nooOoOoon,GNU C++17,30 ms,0 KB,339A,Helpful Maths,339,A
32500938,Nov/20/2017 16:27,Grapeee,GNU C++,30 ms,0 KB,339A,Helpful Maths,339,A
183677346,Dec/03/2022 07:47,099450735z,GNU C++17 (64),0 ms,0 KB,339A,Helpful Maths,339,A
16648386,Mar/11/2016 15:30,RedNextCentury,GNU C++11,30 ms,0 KB,339A,Helpful Maths,339,A
167740347,Aug/10/2022 14:07,masa_beydoun,GNU C++17,30 ms,0 KB,339A,Helpful Maths,339,A
148648138,Mar/07/2022 01:01,a7mad_taieb,GNU C++20 (64),30 ms,0 KB,339A,Helpful Maths,339,A
185277738,Dec/15/2022 14:10,Mounir_Maleh,GNU C++17,30 ms,0 KB,339A,Helpful Maths,339,A
181540571,Nov/19/2022 00:03,abd-alrzaq,GNU C++20 (64),30 ms,0 KB,339A,Helpful Maths,339,A
180228536,Nov/09/2022 20:26,obada_katma,GNU C++20 (64),0 ms,0 KB,339A,Helpful Maths,339,A
196940402,Mar/11/2023 16:47,_s_h_a_m__,GNU C++17,30 ms,0 KB,339A,Helpful Maths,339,A
158081630,May/22/2022 20:29,Mohammed--alhefawe,GNU C++17,30 ms,0 KB,339A,Helpful Maths,339,A
67569414,Dec/25/2019 00:02,Diab,GNU C++17,62 ms,0 KB,339A,Helpful Maths,339,A
178592526,Oct/30/2022 17:56,A.M.B.E,GNU C++17,30 ms,0 KB,339A,Helpful Maths,339,A
196939273,Mar/11/2023 16:36,_s_h_a_m__,GNU C++17,30 ms,0 KB,339A,Helpful Maths,339,A
170392948,Aug/31/2022 16:45,M.Qattan,GNU C++17,30 ms,0 KB,339A,Helpful Maths,339,A
202082934,Apr/14/2023 18:01,ShadyH6,GNU C++17,30 ms,0 KB,339A,Helpful Maths,339,A
71821352,Feb/24/2020 22:49,Bsher,GNU C++11,62 ms,0 KB,339A,Helpful Maths,339,A
158241038,May/23/2022 22:28,ghina.alrefai,GNU C++17,30 ms,0 KB,339A,Helpful Maths,339,A
175678154,Oct/11/2022 22:09,codeiologist,GNU C++17 (64),0 ms,0 KB,339A,Helpful Maths,339,A
58838519,Aug/15/2019 02:35,Raed_Sb,GNU C++14,30 ms,200 KB,339A,Helpful Maths,339,A
192504043,Feb/06/2023 19:40,obadaa.masri,GNU C++17,30 ms,0 KB,339A,Helpful Maths,339,A
166609153,Aug/01/2022 20:48,Anti_tourist4000,GNU C++20 (64),0 ms,0 KB,339A,Helpful Maths,339,A
169744556,Aug/27/2022 00:27,Kareembo,GNU C++17,0 ms,0 KB,339A,Helpful Maths,339,A
160079851,Jun/10/2022 16:34,HASSAN_GH,GNU C++17,30 ms,0 KB,339A,Helpful Maths,339,A
161365443,Jun/21/2022 09:54,MouayadL7,GNU C++17,30 ms,0 KB,339A,Helpful Maths,339,A
159533920,Jun/05/2022 11:44,AbodeKu,GNU C++14,30 ms,0 KB,339A,Helpful Maths,339,A
79610758,May/10/2020 05:50,RamaRehawi,GNU C++17,62 ms,3600 KB,339A,Helpful Maths,339,A
196006462,Mar/04/2023 20:45,Abdulrhaim_Ma,GNU C++17,30 ms,0 KB,339A,Helpful Maths,339,A
101964930,Dec/21/2020 16:38,Amr_Kart,GNU C++11,62 ms,0 KB,339A,Helpful Maths,339,A
71916954,Feb/26/2020 16:35,AhmadShahal,GNU C++14,62 ms,0 KB,339A,Helpful Maths,339,A
109219876,Mar/06/2021 14:54,AhmadShahal,GNU C++17,62 ms,200 KB,339A,Helpful Maths,339,A
193521090,Feb/13/2023 23:09,IT-24-,GNU C++17,30 ms,100 KB,339A,Helpful Maths,339,A
164181950,Jul/14/2022 21:45,kinannotfound,GNU C++20 (64),30 ms,0 KB,339A,Helpful Maths,339,A
180281294,Nov/10/2022 12:01,Mohammed_Abdelkareem,GNU C++17,30 ms,0 KB,339A,Helpful Maths,339,A
125018859,Aug/06/2021 08:54,_SADIEM_,GNU C++17,62 ms,3700 KB,339A,Helpful Maths,339,A
193556464,Feb/14/2023 10:44,IT-24-,GNU C++17,30 ms,100 KB,339A,Helpful Maths,339,A
152849028,Apr/06/2022 15:55,_Salty,GNU C++17,30 ms,200 KB,339A,Helpful Maths,339,A
125883148,Aug/15/2021 00:16,Diab,GNU C++17,62 ms,3600 KB,339A,Helpful Maths,339,A
123971907,Jul/27/2021 23:10,Ahmed-yaser,GNU C++17,60 ms,3600 KB,339A,Helpful Maths,339,A
34576494,Jan/26/2018 16:15,Bsher,GNU C++14,30 ms,1900 KB,339A,Helpful Maths,339,A
156889938,May/12/2022 09:29,dee..,GNU C++17,30 ms,0 KB,339A,Helpful Maths,339,A
16473859,Mar/03/2016 00:34,Mohammad_Kartoumeh,GNU C++,30 ms,0 KB,339A,Helpful Maths,339,A
199345002,Mar/27/2023 02:40,MarioAndrawos,GNU C++17 (64),0 ms,0 KB,339A,Helpful Maths,339,A
161589547,Jun/23/2022 23:42,anas_allaham,GNU C++20 (64),30 ms,0 KB,339A,Helpful Maths,339,A
36226355,Mar/12/2018 17:04,samer_orfali,GNU C++,30 ms,2100 KB,339A,Helpful Maths,339,A
167912806,Aug/11/2022 23:51,Wiaam_SA,GNU C++17,30 ms,100 KB,339A,Helpful Maths,339,A
127866039,Sep/04/2021 21:29,_SADIEM_,GNU C++17,60 ms,3600 KB,339A,Helpful Maths,339,A
149020440,Mar/09/2022 21:28,sanji333333,GNU C++17,30 ms,0 KB,339A,Helpful Maths,339,A
143163300,Jan/18/2022 00:20,_OmarAbdo,GNU C++14,62 ms,0 KB,339A,Helpful Maths,339,A
160768387,Jun/16/2022 00:25,AbdAlrhman_QaraBolad,GNU C++17,30 ms,0 KB,339A,Helpful Maths,339,A
114785530,May/01/2021 18:06,Alhomse,MS C++ 2017,30 ms,0 KB,339A,Helpful Maths,339,A
80016040,May/13/2020 23:33,Tashleef,GNU C++14,62 ms,3900 KB,339A,Helpful Maths,339,A
105594767,Jan/27/2021 19:01,DARK-N,GNU C++17,30 ms,0 KB,339A,Helpful Maths,339,A
112186773,Apr/07/2021 03:27,_SADIEM_,GNU C++14,62 ms,0 KB,339A,Helpful Maths,339,A
68419373,Jan/08/2020 23:45,Brre.Hemo,GNU C++17,60 ms,0 KB,339A,Helpful Maths,339,A
187952783,Jan/04/2023 20:24,NawarAlTibi,GNU C++20 (64),30 ms,0 KB,339A,Helpful Maths,339,A
138708414,Dec/11/2021 10:34,_SADIEM_,GNU C++17,30 ms,0 KB,339A,Helpful Maths,339,A
193556978,Feb/14/2023 10:51,IT-24-,GNU C++17,30 ms,100 KB,339A,Helpful Maths,339,A
205073787,May/08/2023 14:24,mlakdyab578,GNU C++17,30 ms,100 KB,339A,Helpful Maths,339,A
176393794,Oct/15/2022 22:14,Mohammad_Alassali,GNU C++17,30 ms,100 KB,339A,Helpful Maths,339,A
152793041,Apr/05/2022 22:27,7amzahsa,GNU C++20 (64),30 ms,0 KB,339A,Helpful Maths,339,A
109791095,Mar/12/2021 17:22,Alaa-Kaadan,GNU C++17,62 ms,0 KB,339A,Helpful Maths,339,A
104959226,Jan/21/2021 09:54,_SADIEM_,GNU C++14,62 ms,0 KB,339A,Helpful Maths,339,A
160977408,Jun/17/2022 19:04,Waellhasan,GNU C++17,30 ms,100 KB,339A,Helpful Maths,339,A
62420520,Oct/12/2019 15:48,sepsa.m,GNU C++17,62 ms,0 KB,339A,Helpful Maths,339,A
49473050,Feb/04/2019 21:02,Ahmad7_7,GNU C++17,60 ms,200 KB,339A,Helpful Maths,339,A
167730917,Aug/10/2022 12:32,sanji333333,GNU C++17,30 ms,0 KB,339A,Helpful Maths,339,A
48016501,Jan/06/2019 02:35,Yaman_Alwaza,GNU C++17,30 ms,200 KB,339A,Helpful Maths,339,A
188371997,Jan/08/2023 04:05,0xessam,GNU C++20 (64),30 ms,0 KB,339A,Helpful Maths,339,A
108405361,Feb/24/2021 16:25,Brre.Hemo,GNU C++17,62 ms,0 KB,339A,Helpful Maths,339,A
169299795,Aug/22/2022 09:05,IT-24-,GNU C++17,30 ms,0 KB,281A,Word Capitalization,281,A
164347339,Jul/15/2022 19:53,kinannotfound,GNU C++20 (64),30 ms,0 KB,281A,Word Capitalization,281,A
169068190,Aug/20/2022 13:38,anas_allaham,GNU C++20 (64),0 ms,0 KB,281A,Word Capitalization,281,A
36229172,Mar/12/2018 18:58,samer_orfali,GNU C++,30 ms,2000 KB,281A,Word Capitalization,281,A
174869885,Oct/06/2022 17:44,Bicso,GNU C++14,30 ms,0 KB,281A,Word Capitalization,281,A
177385386,Oct/22/2022 06:55,mlakdyab578,GNU C++17,30 ms,0 KB,281A,Word Capitalization,281,A
158241590,May/23/2022 22:37,Mohammed--alhefawe,GNU C++17,30 ms,0 KB,281A,Word Capitalization,281,A
36774240,Mar/31/2018 15:51,abdalkader-s,GNU C++14,60 ms,3300 KB,281A,Word Capitalization,281,A
71917182,Feb/26/2020 16:39,AhmadShahal,GNU C++14,30 ms,0 KB,281A,Word Capitalization,281,A
151623230,Apr/01/2022 06:54,obadaa.masri,GNU C++17,30 ms,0 KB,281A,Word Capitalization,281,A
104369407,Jan/15/2021 02:37,RetiringNextCentury,GNU C++14,62 ms,0 KB,281A,Word Capitalization,281,A
171165093,Sep/06/2022 22:14,sarah.m.akkad,GNU C++17,30 ms,0 KB,281A,Word Capitalization,281,A
166733168,Aug/02/2022 21:53,Anti_tourist4000,GNU C++20 (64),30 ms,0 KB,281A,Word Capitalization,281,A
109354591,Mar/07/2021 20:52,DARK-N,GNU C++17,62 ms,0 KB,281A,Word Capitalization,281,A
146870897,Feb/18/2022 22:44,Zeina_Albarre,GNU C++20 (64),30 ms,0 KB,281A,Word Capitalization,281,A
101966029,Dec/21/2020 16:50,Amr_Kart,GNU C++11,62 ms,0 KB,281A,Word Capitalization,281,A
161916284,Jun/27/2022 09:07,Nour-Aldeen,GNU C++17,30 ms,1000 KB,281A,Word Capitalization,281,A
153240367,Apr/09/2022 23:52,ghina.alrefai,GNU C++17,30 ms,0 KB,281A,Word Capitalization,281,A
171056774,Sep/06/2022 16:23,099450735z,GNU C++17 (64),30 ms,0 KB,281A,Word Capitalization,281,A
180162598,Nov/09/2022 09:44,Abd_HM,GNU C++17,30 ms,0 KB,281A,Word Capitalization,281,A
164347733,Jul/15/2022 19:56,kinannotfound,GNU C++20 (64),30 ms,0 KB,281A,Word Capitalization,281,A
111690589,Apr/01/2021 18:17,Brre.Hemo,GNU C++17,60 ms,0 KB,281A,Word Capitalization,281,A
167908969,Aug/11/2022 22:49,Wiaam_SA,GNU C++17,30 ms,0 KB,281A,Word Capitalization,281,A
149336916,Mar/11/2022 20:35,a7mad_taieb,GNU C++20 (64),30 ms,0 KB,281A,Word Capitalization,281,A
180492849,Nov/11/2022 19:35,Ansam092,GNU C++17,30 ms,0 KB,281A,Word Capitalization,281,A
78403999,Apr/28/2020 19:16,Diab,GNU C++17,62 ms,0 KB,281A,Word Capitalization,281,A
127869089,Sep/04/2021 22:30,Alaa-Kaadan,GNU C++17,60 ms,3600 KB,281A,Word Capitalization,281,A
180723839,Nov/13/2022 11:26,Mohammed_Abdelkareem,GNU C++17,30 ms,0 KB,281A,Word Capitalization,281,A
114284635,Apr/26/2021 16:35,Lanakhaled,MS C++ 2017,60 ms,0 KB,281A,Word Capitalization,281,A
130799045,Oct/04/2021 15:53,043_33798_Nuraiym-7,GNU C++17,30 ms,3700 KB,281A,Word Capitalization,281,A
171655748,Sep/10/2022 23:38,Karam_mohmd,GNU C++17,30 ms,0 KB,281A,Word Capitalization,281,A
196814219,Mar/10/2023 18:16,ghaith.clash88,GNU C++17 (64),30 ms,0 KB,281A,Word Capitalization,281,A
177336293,Oct/21/2022 18:42,mlakdyab578,GNU C++17,30 ms,0 KB,281A,Word Capitalization,281,A
187944312,Jan/04/2023 19:04,NawarAlTibi,GNU C++20 (64),30 ms,0 KB,281A,Word Capitalization,281,A
158504610,May/26/2022 11:07,OmranMk,GNU C++17,30 ms,0 KB,281A,Word Capitalization,281,A
164346968,Jul/15/2022 19:50,kinannotfound,GNU C++20 (64),30 ms,0 KB,281A,Word Capitalization,281,A
62425410,Oct/12/2019 17:09,sepsa.m,GNU C++17,62 ms,0 KB,281A,Word Capitalization,281,A
148126732,Mar/02/2022 17:54,AbdAR,GNU C++17,30 ms,0 KB,281A,Word Capitalization,281,A
169745627,Aug/27/2022 00:59,Kareembo,GNU C++17,0 ms,0 KB,281A,Word Capitalization,281,A
5587181,Dec/31/2013 00:39,RedNextCentury,GNU C++,30 ms,0 KB,281A,Word Capitalization,281,A
157461171,May/17/2022 12:18,HASSAN_GH,GNU C++17,30 ms,1000 KB,281A,Word Capitalization,281,A
169323872,Aug/22/2022 13:55,MarioAndrawos,GNU C++17 (64),30 ms,0 KB,281A,Word Capitalization,281,A
186158541,Dec/21/2022 01:59,M.Qattan,GNU C++20 (64),30 ms,0 KB,281A,Word Capitalization,281,A
181770878,Nov/20/2022 18:13,Alaa_em_123,GNU C++20 (64),0 ms,0 KB,281A,Word Capitalization,281,A
167669378,Aug/09/2022 21:04,masa_beydoun,GNU C++17,30 ms,0 KB,281A,Word Capitalization,281,A
168697358,Aug/17/2022 15:39,Abdulrhaim_Ma,GNU C++17,30 ms,0 KB,281A,Word Capitalization,281,A
148046443,Mar/01/2022 19:03,ZENGOO,GNU C++17,30 ms,0 KB,281A,Word Capitalization,281,A
153677507,Apr/15/2022 00:57,MouayadL7,GNU C++14,30 ms,0 KB,281A,Word Capitalization,281,A
168697241,Aug/17/2022 15:38,Abdulrhaim_Ma,GNU C++17,30 ms,0 KB,281A,Word Capitalization,281,A
177501200,Oct/23/2022 00:38,codeiologist,GNU C++17 (64),30 ms,0 KB,281A,Word Capitalization,281,A
109286024,Mar/06/2021 21:13,Bassam1412,GNU C++17,60 ms,0 KB,281A,Word Capitalization,281,A
166740576,Aug/02/2022 23:31,Conan_y65,GNU C++20 (64),30 ms,0 KB,281A,Word Capitalization,281,A
185277994,Dec/15/2022 14:13,Mounir_Maleh,GNU C++17,30 ms,0 KB,281A,Word Capitalization,281,A
56639897,Jul/07/2019 03:10,Raneem.Alhassan,GNU C++11,62 ms,0 KB,281A,Word Capitalization,281,A
183324098,Nov/30/2022 10:37,abd-alrzaq,GNU C++20 (64),30 ms,0 KB,281A,Word Capitalization,281,A
158078634,May/22/2022 20:07,Ghinanana,GNU C++17,30 ms,0 KB,281A,Word Capitalization,281,A
34589626,Jan/27/2018 01:42,Bsher,GNU C++14,30 ms,1900 KB,281A,Word Capitalization,281,A
193328391,Feb/12/2023 13:27,_Mockingjay_,GNU C++20 (64),0 ms,0 KB,281A,Word Capitalization,281,A
174674333,Oct/05/2022 00:36,ShathaS2003,GNU C++17,30 ms,0 KB,281A,Word Capitalization,281,A
114983960,May/03/2021 06:31,Ahmed-yaser,GNU C++17,62 ms,0 KB,281A,Word Capitalization,281,A
33920993,Jan/05/2018 14:52,SaeedSabbagh,GNU C++14,30 ms,1800 KB,281A,Word Capitalization,281,A
152793332,Apr/05/2022 22:33,7amzahsa,GNU C++20 (64),30 ms,0 KB,281A,Word Capitalization,281,A
176602513,Oct/16/2022 20:53,MuhannadW,GNU C++17,30 ms,1000 KB,281A,Word Capitalization,281,A
156890198,May/12/2022 09:33,dee..,GNU C++17,30 ms,0 KB,281A,Word Capitalization,281,A
197507943,Mar/15/2023 15:29,abdalrhman.alkafry,GNU C++17 (64),0 ms,0 KB,281A,Word Capitalization,281,A
197580365,Mar/16/2023 04:10,_s_h_a_m__,GNU C++17,30 ms,0 KB,281A,Word Capitalization,281,A
99034557,Nov/20/2020 16:39,3bdo_Farah,GNU C++14,62 ms,0 KB,281A,Word Capitalization,281,A
149242984,Mar/11/2022 14:22,sanji333333,GNU C++17,30 ms,0 KB,281A,Word Capitalization,281,A
106234072,Feb/02/2021 01:13,Mohamed-Omran,GNU C++17,62 ms,0 KB,281A,Word Capitalization,281,A
115469869,May/07/2021 05:42,Alhomse,MS C++ 2017,30 ms,3700 KB,281A,Word Capitalization,281,A
172768862,Sep/20/2022 01:58,Sarah_nn,GNU C++17,30 ms,0 KB,281A,Word Capitalization,281,A
79611041,May/10/2020 05:57,RamaRehawi,GNU C++17,62 ms,3700 KB,281A,Word Capitalization,281,A
48043864,Jan/07/2019 01:55,Yaman_Alwaza,GNU C++17,60 ms,300 KB,281A,Word Capitalization,281,A
58838531,Aug/15/2019 02:37,Raed_Sb,GNU C++14,62 ms,0 KB,281A,Word Capitalization,281,A
171275938,Sep/07/2022 22:55,Hamza_Alattar.1,GNU C++17,30 ms,0 KB,281A,Word Capitalization,281,A
16458550,Mar/02/2016 09:43,Mohammad_Kartoumeh,GNU C++,30 ms,0 KB,281A,Word Capitalization,281,A
120745552,Jun/27/2021 18:27,Brre.Hemo,GNU C++17,60 ms,0 KB,281A,Word Capitalization,281,A
127866612,Sep/04/2021 21:38,_SADIEM_,GNU C++17,62 ms,3700 KB,281A,Word Capitalization,281,A
152849116,Apr/06/2022 15:56,_Salty,GNU C++17,30 ms,0 KB,281A,Word Capitalization,281,A
181598480,Nov/19/2022 13:49,Mohammad_Alassali,GNU C++20 (64),30 ms,0 KB,281A,Word Capitalization,281,A
160769242,Jun/16/2022 00:54,AbdAlrhman_QaraBolad,GNU C++17,30 ms,0 KB,281A,Word Capitalization,281,A
46883694,Dec/11/2018 00:06,Ahmad7_7,GNU C++17,62 ms,0 KB,281A,Word Capitalization,281,A
128829987,Sep/14/2021 17:58,_SADIEM_,GNU C++17,60 ms,3600 KB,281A,Word Capitalization,281,A
104962276,Jan/21/2021 10:32,_SADIEM_,GNU C++14,62 ms,0 KB,281A,Word Capitalization,281,A
160809703,Jun/16/2022 14:39,Waellhasan,GNU C++17,30 ms,0 KB,281A,Word Capitalization,281,A
65888690,Nov/28/2019 04:43,Brre.Hemo,GNU C++14,62 ms,0 KB,281A,Word Capitalization,281,A
175143072,Oct/08/2022 16:34,Mohammad_Alassali,GNU C++20 (64),30 ms,0 KB,236A,Boy or Girl,236,A
165987296,Jul/28/2022 12:50,Anti_tourist4000,GNU C++20 (64),30 ms,0 KB,236A,Boy or Girl,236,A
150366191,Mar/21/2022 16:50,anas_allaham,GNU C++20 (64),30 ms,0 KB,236A,Boy or Girl,236,A
36420816,Mar/20/2018 00:04,samer_orfali,GNU C++,62 ms,3400 KB,236A,Boy or Girl,236,A
