#,When,Who,Problem_name,Number,Character
79314962,May/07/2020 20:55,3bdo_Farah,Brain's Photos,707,A
79308451,May/07/2020 19:32,3bdo_Farah,Calculating Function,486,A
78586261,Apr/30/2020 19:27,3bdo_Farah,Juicer,709,A
78583742,Apr/30/2020 18:58,3bdo_Farah,Colorful Stones (Simplified Edition),265,A
78579042,Apr/30/2020 18:02,3bdo_Farah,Is your horseshoe on the other hoof?,228,A
78493537,Apr/29/2020 18:40,3bdo_Farah,Shaass and Oskols,294,A
78491514,Apr/29/2020 18:20,3bdo_Farah,Helpful Maths,339,A
78490641,Apr/29/2020 18:10,3bdo_Farah,Team Olympiad,490,A
78045392,Apr/25/2020 19:12,3bdo_Farah,Buy a Shovel,732,A
78042141,Apr/25/2020 18:40,3bdo_Farah,Die Roll,9,A
78037504,Apr/25/2020 17:57,3bdo_Farah,Anton and Letters,443,A
78036194,Apr/25/2020 17:45,3bdo_Farah,Way Too Long Words,71,A
78025954,Apr/25/2020 16:08,3bdo_Farah,Free Ice Cream,686,A
78025295,Apr/25/2020 15:58,3bdo_Farah,I Wanna Be the Guy,469,A
77882656,Apr/24/2020 09:22,3bdo_Farah,I Wanna Be the Guy,469,A
77752042,Apr/23/2020 15:29,3bdo_Farah,Night at the Museum,731,A
77747685,Apr/23/2020 14:46,3bdo_Farah,Boy or Girl,236,A
77746212,Apr/23/2020 14:35,3bdo_Farah,Petya and Strings,112,A
77743826,Apr/23/2020 14:14,3bdo_Farah,Stones on the Table,266,A
77743266,Apr/23/2020 14:08,3bdo_Farah,Sereja and Dima,381,A
77741903,Apr/23/2020 13:51,3bdo_Farah,Magnets,344,A
77740834,Apr/23/2020 13:39,3bdo_Farah,Police Recruits,427,A
77737167,Apr/23/2020 12:56,3bdo_Farah,Black Square,431,A
77730008,Apr/23/2020 11:48,3bdo_Farah,Word,59,A
77728398,Apr/23/2020 11:29,3bdo_Farah,New Password,770,A
77726503,Apr/23/2020 11:05,3bdo_Farah,Beautiful Matrix,263,A
77726119,Apr/23/2020 11:00,3bdo_Farah,Beautiful Matrix,263,A
77725580,Apr/23/2020 10:53,3bdo_Farah,Team,231,A
77724892,Apr/23/2020 10:44,3bdo_Farah,Bear and Big Brother,791,A
77724266,Apr/23/2020 10:36,3bdo_Farah,Anton and Danik,734,A
77721979,Apr/23/2020 10:08,3bdo_Farah,Vanya and Fence,677,A
77331796,Apr/20/2020 09:25,3bdo_Farah,Kuriyama Mirai's Stones,433,B
77303047,Apr/19/2020 21:16,3bdo_Farah,Little Girl and Maximum Sum,276,C
77062089,Apr/17/2020 13:38,3bdo_Farah,Sereja and Suffixes,368,B
77061624,Apr/17/2020 13:33,3bdo_Farah,Sereja and Suffixes,368,B
75334751,Apr/03/2020 14:00,3bdo_Farah,Ilya and Queries,313,B
75334612,Apr/03/2020 13:59,3bdo_Farah,Ilya and Queries,313,B
75334496,Apr/03/2020 13:57,3bdo_Farah,Ilya and Queries,313,B
75334383,Apr/03/2020 13:56,3bdo_Farah,Ilya and Queries,313,B
75334078,Apr/03/2020 13:52,3bdo_Farah,Ilya and Queries,313,B
75288171,Apr/02/2020 23:22,3bdo_Farah,Twins,160,A
75285381,Apr/02/2020 22:42,3bdo_Farah,Arrival of the General,144,A
74190158,Mar/24/2020 13:59,3bdo_Farah,Game With Sticks,451,A
74186672,Mar/24/2020 13:17,3bdo_Farah,Gravity Flip,405,A
74186313,Mar/24/2020 13:13,3bdo_Farah,Gravity Flip,405,A
73983473,Mar/22/2020 20:34,3bdo_Farah,Police Recruits,427,A
73567256,Mar/18/2020 15:07,3bdo_Farah,Dragons,230,A
71629015,Feb/22/2020 21:41,3bdo_Farah,Ilya and Queries,313,B
71248400,Feb/17/2020 01:30,3bdo_Farah,Little Girl and Maximum Sum,276,C
70843061,Feb/12/2020 15:39,3bdo_Farah,Arrival of the General,144,A
70842968,Feb/12/2020 15:37,3bdo_Farah,Arrival of the General,144,A
70842793,Feb/12/2020 15:34,3bdo_Farah,Arrival of the General,144,A
70794947,Feb/11/2020 18:12,3bdo_Farah,Far Relative’s Problem,629,B
70794583,Feb/11/2020 18:05,3bdo_Farah,Far Relative’s Problem,629,B
70794531,Feb/11/2020 18:04,3bdo_Farah,Far Relative’s Problem,629,B
70794238,Feb/11/2020 17:59,3bdo_Farah,Far Relative’s Problem,629,B
70792858,Feb/11/2020 17:36,3bdo_Farah,Far Relative’s Problem,629,B
70721347,Feb/10/2020 13:19,3bdo_Farah,New Year Candles,379,A
70720290,Feb/10/2020 12:57,3bdo_Farah,Vasya and Socks,460,A
70717285,Feb/10/2020 11:57,3bdo_Farah,Team Olympiad,490,A
70716737,Feb/10/2020 11:47,3bdo_Farah,Team Olympiad,490,A
70662456,Feb/09/2020 18:12,3bdo_Farah,Watching a movie,499,A
70641588,Feb/09/2020 17:25,3bdo_Farah,Translation,41,A
70639274,Feb/09/2020 17:21,3bdo_Farah,Translation,41,A
70635435,Feb/09/2020 17:16,3bdo_Farah,Translation,41,A
70626763,Feb/09/2020 16:28,3bdo_Farah,Translation,41,A
70624743,Feb/09/2020 15:50,3bdo_Farah,Buttons,268,B
70622151,Feb/09/2020 14:56,3bdo_Farah,Watching a movie,499,A
70621713,Feb/09/2020 14:47,3bdo_Farah,Watching a movie,499,A
70620935,Feb/09/2020 14:31,3bdo_Farah,Watching a movie,499,A
70616964,Feb/09/2020 13:16,3bdo_Farah,Contest,501,A
70586465,Feb/08/2020 21:46,3bdo_Farah,Design Tutorial: Learn from Math,472,A
70586315,Feb/08/2020 21:43,3bdo_Farah,Design Tutorial: Learn from Math,472,A
70585341,Feb/08/2020 21:26,3bdo_Farah,Design Tutorial: Learn from Math,472,A
70584468,Feb/08/2020 21:12,3bdo_Farah,Design Tutorial: Learn from Math,472,A
70571193,Feb/08/2020 17:25,3bdo_Farah,Mammoth's Genome Decoding,747,B
70568003,Feb/08/2020 16:41,3bdo_Farah,Mammoth's Genome Decoding,747,B
70446990,Feb/06/2020 18:22,3bdo_Farah,Candies Division,1283,B
70352518,Feb/05/2020 14:22,3bdo_Farah,Dubstep,208,A
70352223,Feb/05/2020 14:17,3bdo_Farah,Dubstep,208,A
70351588,Feb/05/2020 14:06,3bdo_Farah,Dubstep,208,A
70350763,Feb/05/2020 13:52,3bdo_Farah,Dubstep,208,A
70350050,Feb/05/2020 13:39,3bdo_Farah,Dubstep,208,A
70311647,Feb/04/2020 22:24,3bdo_Farah,Double Cola,82,A
70212975,Feb/04/2020 11:51,3bdo_Farah,Even Odds,318,A
70096274,Feb/02/2020 23:22,3bdo_Farah,Chat room,58,A
70096120,Feb/02/2020 23:18,3bdo_Farah,Chat room,58,A
70095937,Feb/02/2020 23:14,3bdo_Farah,Chat room,58,A
70095736,Feb/02/2020 23:08,3bdo_Farah,Chat room,58,A
70095576,Feb/02/2020 23:04,3bdo_Farah,Chat room,58,A
70092225,Feb/02/2020 21:48,3bdo_Farah,Beautiful Matrix,263,A
70091319,Feb/02/2020 21:29,3bdo_Farah,Double Cola,82,A
70085581,Feb/02/2020 20:03,3bdo_Farah,Even Odds,318,A
67977095,Dec/30/2019 20:23,3bdo_Farah,Tram,116,A
67975341,Dec/30/2019 19:40,3bdo_Farah,Elephant,617,A
67957908,Dec/30/2019 13:23,3bdo_Farah,cAPS lOCK,131,A
67785279,Dec/28/2019 15:31,3bdo_Farah,Next Round,158,A
67783929,Dec/28/2019 15:00,3bdo_Farah,Nearly Lucky Number,110,A
67782963,Dec/28/2019 14:40,3bdo_Farah,Lucky Division,122,A
67753753,Dec/27/2019 21:42,3bdo_Farah,Boy or Girl,236,A
67479662,Dec/23/2019 18:33,3bdo_Farah,Young Physicist,69,A
67434607,Dec/22/2019 19:36,3bdo_Farah,Theatre Square,1,A
67432724,Dec/22/2019 18:49,3bdo_Farah,Domino piling,50,A
67431077,Dec/22/2019 18:14,3bdo_Farah,Beautiful Year,271,A
67429373,Dec/22/2019 17:41,3bdo_Farah,Soldier and Bananas,546,A
209734375,Jun/15/2023 10:52,OmranMk,Nesr El Sieve,104147,F
209731969,Jun/15/2023 10:26,OmranMk,Hobz is a good guy,104147,K
209731196,Jun/15/2023 10:18,OmranMk,I'll call him Hanya,104147,B
209730119,Jun/15/2023 10:04,OmranMk,Round 1,104147,A
209632093,Jun/14/2023 09:21,OmranMk,Game 23,1141,A
209630217,Jun/14/2023 08:55,OmranMk,Trouble Sort,1365,B
209629044,Jun/14/2023 08:36,OmranMk,Distance and Axis,1401,A
209608142,Jun/13/2023 23:32,OmranMk,Teams Forming,1092,B
209607899,Jun/13/2023 23:27,OmranMk,Cinema Line,349,A
209607189,Jun/13/2023 23:13,OmranMk,Less or Equal,977,C
209492700,Jun/12/2023 22:38,OmranMk,Polycarp and Sums of Subsequences,1618,A
209492274,Jun/12/2023 22:31,OmranMk,Who's Opposite?,1560,B
209490546,Jun/12/2023 22:09,OmranMk,Elections,1593,A
209322164,Jun/11/2023 23:52,OmranMk,ICPC Balloons,1703,B
209321891,Jun/11/2023 23:46,OmranMk,Minutes Before the New Year,1283,A
209310262,Jun/11/2023 20:41,OmranMk,Sum of Odd Integers,1327,A
209168777,Jun/10/2023 11:05,OmranMk,K th Beautiful String,1328,B
209163591,Jun/10/2023 10:05,OmranMk,Pashmak and Garden,459,A
209159951,Jun/10/2023 09:22,OmranMk,A and B and Compilation Errors,519,B
209056479,Jun/09/2023 07:52,OmranMk,Ternary XOR,1328,C
209055226,Jun/09/2023 07:31,OmranMk,Buying Shovels,1360,D
209048459,Jun/09/2023 05:21,OmranMk,Road To Zero,1342,A
208958562,Jun/08/2023 09:37,OmranMk,Same Parity Summands,1352,B
208956284,Jun/08/2023 09:08,OmranMk,Odd Selection,1363,A
208955586,Jun/08/2023 08:56,OmranMk,Two Substrings,550,A
208933929,Jun/07/2023 23:46,OmranMk,Array with Odd Sum,1296,A
208916099,Jun/07/2023 19:34,OmranMk,Random Teams,478,B
208912982,Jun/07/2023 18:58,OmranMk,Alternating Subsequence,1343,C
208817871,Jun/06/2023 20:21,OmranMk,Lecture,499,B
208814927,Jun/06/2023 20:03,OmranMk,Yet Another String Game,1480,A
208769649,Jun/06/2023 18:39,OmranMk,Ski Resort,1840,C
208721446,Jun/06/2023 17:39,OmranMk,Cipher Shifer,1840,A
208578430,Jun/05/2023 13:33,OmranMk,Same Differences,1520,D
208573029,Jun/05/2023 12:30,OmranMk,Kefa and Park,580,C
208563212,Jun/05/2023 10:40,OmranMk,Pashmak and Flowers,459,B
208375692,Jun/04/2023 04:31,OmranMk,Odd Set,1542,A
208375513,Jun/04/2023 04:24,OmranMk,Ilya and Queries,313,B
208374641,Jun/04/2023 03:51,OmranMk,Dreamoon and Stairs,476,A
208374359,Jun/04/2023 03:42,OmranMk,Flipping Game,327,A
208262961,Jun/03/2023 09:45,OmranMk,Boring Apartments,1433,A
208260086,Jun/03/2023 09:08,OmranMk,Worms,474,B
208258590,Jun/03/2023 08:47,OmranMk,K th Not Divisible by n,1352,C
208140527,Jun/02/2023 11:00,OmranMk,Minimal Square,1360,A
208139429,Jun/02/2023 10:44,OmranMk,Two Buttons,520,B
208134137,Jun/02/2023 09:31,OmranMk,Given Length and Sum of Digits...,489,C
208041235,Jun/01/2023 12:54,OmranMk,Two Arrays And Swaps,1353,B
208040727,Jun/01/2023 12:48,OmranMk,Plus One on the Subset,1624,A
208040354,Jun/01/2023 12:44,OmranMk,New Year Transportation,500,A
207958054,May/31/2023 15:03,OmranMk,chino with mates,103115,I
207941708,May/31/2023 12:06,OmranMk,cocktail with snake,103115,G
207941105,May/31/2023 11:59,OmranMk,is the order a rabbit ??,103115,E
207938865,May/31/2023 11:33,OmranMk,do NOT a=2b,103115,J
207935287,May/31/2023 10:50,OmranMk,chino with c language,103115,K
207886847,May/30/2023 20:23,OmranMk,Permutation,1701,B
207885167,May/30/2023 20:04,OmranMk,Even Array,1367,B
207883978,May/30/2023 19:51,OmranMk,Required Remainder,1374,A
207882903,May/30/2023 19:40,OmranMk,Marathon,1692,A
207756181,May/29/2023 15:41,OmranMk,Ilya and Bank Account,313,A
207755682,May/29/2023 15:36,OmranMk,Dislike of Threes,1560,A
207754848,May/29/2023 15:29,OmranMk,Boredom,455,A
207675033,May/28/2023 21:18,OmranMk,Balanced Array,1343,B
207674045,May/28/2023 21:09,OmranMk,Choosing Teams,432,A
207672562,May/28/2023 20:58,OmranMk,Array merging,1831,B
207618902,May/28/2023 18:19,OmranMk,Twin Permutations,1831,A
207511753,May/27/2023 23:26,OmranMk,Game With Sticks,451,A
207510807,May/27/2023 23:09,OmranMk,Candies and Two Sisters,1335,A
207510461,May/27/2023 23:03,OmranMk,Dreaming of Freedom,1826,C
207382934,May/26/2023 19:39,OmranMk,Tram,116,A
207380701,May/26/2023 19:20,OmranMk,Sort with Step,1823,B
207378478,May/26/2023 19:03,OmranMk,Bracket Coloring,1837,D
207245097,May/25/2023 19:06,OmranMk,Best Binary String,1837,C
207198077,May/25/2023 18:06,OmranMk,Comparison String,1837,B
207168171,May/25/2023 17:43,OmranMk,Grasshopper on a Line,1837,A
207079346,May/24/2023 22:05,OmranMk,Erasing Zeroes,1303,A
207078722,May/24/2023 21:55,OmranMk,Download More RAM,1629,A
207002062,May/24/2023 06:51,OmranMk,Word Game,1722,C
206986965,May/23/2023 23:06,OmranMk,Medium Number,1760,A
206985239,May/23/2023 22:36,OmranMk,Fence,363,B
206983694,May/23/2023 22:11,OmranMk,Fix You,1391,B
206832677,May/22/2023 14:56,OmranMk,Sage's Birthday (easy version),1419,D1
206822641,May/22/2023 14:00,OmranMk,Books,279,B
206818604,May/22/2023 13:15,OmranMk,The Delivery Dilemma,1443,C
206778115,May/21/2023 23:27,OmranMk,Domino Disaster,1567,A
206777875,May/21/2023 23:23,OmranMk,Magic Numbers,320,A
206773720,May/21/2023 22:14,OmranMk,Puzzles,337,A
206683874,May/20/2023 23:53,OmranMk,Space Navigation,1481,A
206680103,May/20/2023 22:48,OmranMk,Longest k Good Segment,616,D
206677621,May/20/2023 22:11,OmranMk,Ternary String,1354,B
206563340,May/19/2023 22:16,OmranMk,Love Song,1539,B
206541891,May/19/2023 19:46,OmranMk,Flipper,1833,D
206486384,May/19/2023 18:04,OmranMk,Vlad Building Beautiful Array,1833,C
206476543,May/19/2023 17:53,OmranMk,Restore the Weather,1833,B
206466588,May/19/2023 17:44,OmranMk,Musical Puzzle,1833,A
206376508,May/18/2023 21:26,OmranMk,Mahmoud and Ehab and the MEX,862,A
206296199,May/18/2023 07:29,OmranMk,Lucky Numbers,1808,A
206291188,May/18/2023 05:38,OmranMk,Neko Finds Grapes,1152,A
206165797,May/17/2023 05:31,OmranMk,Fall Down,1669,G
206162816,May/17/2023 03:59,OmranMk,Ehab Fails to Be Thanos,1174,A
206162664,May/17/2023 03:53,OmranMk,Partition,946,A
206149195,May/16/2023 22:14,OmranMk,Where's the Bishop?,1692,C
206148348,May/16/2023 22:03,OmranMk,Odd Divisor,1475,A
206147134,May/16/2023 21:47,OmranMk,New Year's Number,1475,B
206029572,May/15/2023 23:57,OmranMk,Mishka and Game,703,A
206029004,May/15/2023 23:47,OmranMk,String Building,1671,A
206028225,May/15/2023 23:33,OmranMk,Grass Field,1701,A
205919690,May/14/2023 23:06,OmranMk,Insert Digit,1811,A
205918164,May/14/2023 22:46,OmranMk,Permutation Swap,1828,B
205914966,May/14/2023 22:07,OmranMk,Divisible Array,1828,A
205751522,May/13/2023 21:02,OmranMk,Food for Animals,1675,A
205750056,May/13/2023 20:47,OmranMk,"Love ""A""",1146,A
205748241,May/13/2023 20:29,OmranMk,Doors and Keys,1644,A
205609854,May/12/2023 19:16,OmranMk,Contrast Value,1832,C
205597817,May/12/2023 18:47,OmranMk,Maximum Sum,1832,B
205565080,May/12/2023 17:51,OmranMk,New Palindrome,1832,A
205471707,May/11/2023 22:18,OmranMk,Double Cola,82,A
205470871,May/11/2023 22:08,OmranMk,01 Game,1373,B
205463823,May/11/2023 20:51,OmranMk,Sort the Subarray,1821,B
205366949,May/10/2023 22:51,OmranMk,Image,1721,A
205366085,May/10/2023 22:38,OmranMk,Garland,1809,A
205365313,May/10/2023 22:25,OmranMk,Matching,1821,A
205270739,May/09/2023 23:53,OmranMk,All Distinct,1692,B
205270473,May/09/2023 23:47,OmranMk,Grab the Candies,1807,B
205269988,May/09/2023 23:39,OmranMk,Yura's New Name,1820,A
205159514,May/08/2023 22:24,OmranMk,New Year Candles,379,A
205158857,May/08/2023 22:15,OmranMk,Spell Check,1722,A
205079806,May/08/2023 15:08,OmranMk,LuoTianyi and the Palindrome String,1825,A
205014764,May/07/2023 21:18,OmranMk,Following Directions,1791,B
205014015,May/07/2023 21:09,OmranMk,Stripes,1742,C
205012039,May/07/2023 20:49,OmranMk,Gold Rush,1829,D
204788526,May/06/2023 17:55,OmranMk,Mr. Perfectly Fine,1829,C
204763876,May/06/2023 17:40,OmranMk,Blank Space,1829,B
204753476,May/06/2023 17:37,OmranMk,Love Story,1829,A
204649684,May/05/2023 20:35,OmranMk,Increasing,1742,B
204647656,May/05/2023 20:24,OmranMk,A+B?,1772,A
204647248,May/05/2023 20:18,OmranMk,Sale,34,B
204465704,May/04/2023 17:24,OmranMk,A characteristic,1823,A
204429108,May/04/2023 11:36,OmranMk,TubeTube Feed,1822,A
204429059,May/04/2023 11:35,OmranMk,Super Permutation,1822,D
204428447,May/04/2023 11:28,OmranMk,Long Jumps,1472,C
204372710,May/03/2023 22:56,OmranMk,Maximum Product,1406,B
204372537,May/03/2023 22:54,OmranMk,Minimum Extraction,1607,C
204372504,May/03/2023 22:53,OmranMk,Sleeping Schedule,1324,E
204183052,May/02/2023 02:48,OmranMk,Caesar's Legions,118,D
204183028,May/02/2023 02:47,OmranMk,King Escape,1033,A
204183009,May/02/2023 02:47,OmranMk,Yet Another Card Deck,1511,C
204139757,May/01/2023 16:30,OmranMk,Good Pairs,1656,A
204139620,May/01/2023 16:29,OmranMk,Potions (Easy Version),1526,C1
204139547,May/01/2023 16:28,OmranMk,DZY Loves Chessboard,445,A
203999987,Apr/30/2023 07:42,OmranMk,Mortal Kombat Tower,1418,C
203996056,Apr/30/2023 06:21,OmranMk,Equal Candies,1676,B
203995828,Apr/30/2023 06:17,OmranMk,Candies,1810,B
203995770,Apr/30/2023 06:15,OmranMk,Sum of Cubes,1490,C
203963332,Apr/29/2023 20:42,OmranMk,Indivisible,1818,B
203918917,Apr/29/2023 17:50,OmranMk,Politics,1818,A
203867723,Apr/29/2023 07:59,OmranMk,Minimum Product,1409,B
203867602,Apr/29/2023 07:57,OmranMk,Yet Another Promotion,1793,A
203867551,Apr/29/2023 07:57,OmranMk,Frog Jumps,1324,C
203773873,Apr/28/2023 10:32,OmranMk,Sifid and Strange Subsequences,1529,B
203767499,Apr/28/2023 09:02,OmranMk,Coins,1814,A
203767398,Apr/28/2023 09:00,OmranMk,Eating Candies,1669,F
203767346,Apr/28/2023 09:00,OmranMk,Beautiful Sequence,1810,A
203726273,Apr/27/2023 21:13,OmranMk,Interesting drink,706,B
203721553,Apr/27/2023 20:26,OmranMk,Good Subarrays (Easy Version),1736,C1
203702736,Apr/27/2023 18:45,OmranMk,Queue,545,D
203644441,Apr/27/2023 12:21,OmranMk,Stone Game,1538,A
203623129,Apr/27/2023 07:28,OmranMk,Deletions of Two Adjacent Letters,1650,A
203623069,Apr/27/2023 07:27,OmranMk,Palindromic Indices,1682,A
203623039,Apr/27/2023 07:27,OmranMk,Codeforces Checking,1791,A
203623014,Apr/27/2023 07:26,OmranMk,Polycarp and the Day of Pi,1790,A
203573228,Apr/26/2023 18:50,OmranMk,Maximum in Table,509,A
203573197,Apr/26/2023 18:50,OmranMk,Restore the Permutation by Merger,1385,B
203573138,Apr/26/2023 18:50,OmranMk,Vanya and Cubes,492,A
203392970,Apr/25/2023 07:11,OmranMk,Gennady and a Card Game,1097,A
203392875,Apr/25/2023 07:10,OmranMk,Linear Keyboard,1607,A
203392822,Apr/25/2023 07:09,OmranMk,Vus the Cossack and a Contest,1186,A
203355787,Apr/24/2023 21:01,OmranMk,Making Anti Palindromes,1822,E
203284208,Apr/24/2023 18:03,OmranMk,Bun Lover,1822,C
203269322,Apr/24/2023 17:48,OmranMk,Karina and Array,1822,B
203263833,Apr/24/2023 17:43,OmranMk,TubeTube Feed,1822,A
203209413,Apr/24/2023 06:00,OmranMk,File Name,978,B
203209388,Apr/24/2023 06:00,OmranMk,Perfect Permutation,233,A
203209371,Apr/24/2023 05:59,OmranMk,Three Pairwise Maximums,1385,A
203101076,Apr/23/2023 06:07,OmranMk,Division?,1669,A
203101038,Apr/23/2023 06:06,OmranMk,Fair Playoff,1535,A
203101016,Apr/23/2023 06:06,OmranMk,Square String?,1619,A
203042947,Apr/22/2023 15:19,OmranMk,Bachgold Problem,749,A
203042907,Apr/22/2023 15:18,OmranMk,Special Permutation,1454,A
203042817,Apr/22/2023 15:17,OmranMk,Gifts Fixing,1399,B
203035891,Apr/22/2023 14:01,OmranMk,Design Tutorial: Learn from Math,472,A
203035756,Apr/22/2023 13:59,OmranMk,Select Three Sticks,1734,A
202984573,Apr/21/2023 22:14,OmranMk,Decode String,1729,B
202984536,Apr/21/2023 22:13,OmranMk,Arrival of the General,144,A
202936919,Apr/21/2023 11:55,OmranMk,Death's Blessing,1749,B
202818532,Apr/20/2023 16:36,OmranMk,Super Agent,12,A
202818515,Apr/20/2023 16:36,OmranMk,Help Far Away Kingdom,99,A
202818364,Apr/20/2023 16:35,OmranMk,Lucky Ticket,146,A
202818300,Apr/20/2023 16:34,OmranMk,Minimum Binary Number,976,A
202818048,Apr/20/2023 16:31,OmranMk,BAN BAN,1747,B
202696151,Apr/19/2023 13:48,OmranMk,Sereja and Mugs,426,A
202694795,Apr/19/2023 13:31,OmranMk,Boboge and Tall Building,103488,B
202694683,Apr/19/2023 13:29,OmranMk,King Moves,710,A
202694560,Apr/19/2023 13:27,OmranMk,Cakeminator,330,A
202624663,Apr/18/2023 18:37,OmranMk,Odd/Even Increments,1669,C
202624571,Apr/18/2023 18:36,OmranMk,Colourblindness,1722,B
202624463,Apr/18/2023 18:35,OmranMk,Two Groups,1747,A
202594291,Apr/18/2023 14:08,OmranMk,2 3 Moves,1716,A
202504926,Apr/17/2023 17:53,OmranMk,Technical Support,1754,A
202504847,Apr/17/2023 17:52,OmranMk,Yes Yes?,1759,A
202504804,Apr/17/2023 17:52,OmranMk,Three Doors,1709,A
202481430,Apr/17/2023 14:42,OmranMk,Search for Pretty Integers,870,A
202410412,Apr/16/2023 23:19,OmranMk,Two gram,977,B
202349043,Apr/16/2023 12:49,OmranMk,Repeating Cipher,1095,A
202346834,Apr/16/2023 12:25,OmranMk,Napoleon Cake,1501,B
202339260,Apr/16/2023 11:08,OmranMk,Cut Ribbon,189,A
202256642,Apr/15/2023 17:44,OmranMk,The Cake Is a Lie,1519,B
202179983,Apr/15/2023 12:02,OmranMk,The Cake Is a Lie,1519,B
202179182,Apr/15/2023 11:55,OmranMk,The Cake Is a Lie,1519,B
202170483,Apr/15/2023 10:43,OmranMk,The Cake Is a Lie,1519,B
202167298,Apr/15/2023 10:21,OmranMk,Maximum Increase,702,A
202162129,Apr/15/2023 09:41,OmranMk,Phone Numbers,151,B
202057388,Apr/14/2023 14:47,OmranMk,Easy Number Challenge,236,B
202053443,Apr/14/2023 14:14,OmranMk,Roma and Changing Signs,262,B
202034887,Apr/14/2023 11:12,OmranMk,Summer sell off,810,B
201956877,Apr/13/2023 18:15,OmranMk,Haiku,78,A
201947748,Apr/13/2023 17:07,OmranMk,Amr and Music,507,A
201894583,Apr/13/2023 06:33,OmranMk,Barcode,225,C
201875058,Apr/12/2023 22:36,OmranMk,Vacations,699,C
201864041,Apr/12/2023 20:32,OmranMk,Fair Division,1472,B
201776704,Apr/12/2023 07:03,OmranMk,Plus or Minus,1807,A
201776406,Apr/12/2023 06:59,OmranMk,AvtoBus,1679,A
201773989,Apr/12/2023 06:16,OmranMk,Cut Ribbon,189,A
201747063,Apr/11/2023 23:09,OmranMk,Lucky?,1676,A
201746577,Apr/11/2023 23:05,OmranMk,Sum,1742,A
201745795,Apr/11/2023 22:58,OmranMk,Borze,32,B
201637933,Apr/10/2023 12:37,OmranMk,YES or YES?,1703,A
201629283,Apr/10/2023 11:05,OmranMk,BerSU Ball,489,B
201613212,Apr/10/2023 07:40,OmranMk,a Good String,1385,D
201478559,Apr/09/2023 17:26,OmranMk,Preparing Olympiad,550,B
201423717,Apr/09/2023 09:07,OmranMk,Lucky Numbers (easy),96,B
201417871,Apr/09/2023 08:08,OmranMk,Tavas and SaDDas,535,B
201417431,Apr/09/2023 08:03,OmranMk,Petr and a Combination Lock,1097,B
201235702,Apr/08/2023 12:12,OmranMk,Binary Period,1342,B
201219296,Apr/08/2023 09:29,OmranMk,Shuffle Hashing,1278,A
201217525,Apr/08/2023 09:11,OmranMk,Reverse a Substring,1155,A
201209608,Apr/08/2023 07:06,OmranMk,Move Brackets,1374,C
201208966,Apr/08/2023 06:54,OmranMk,Broken Keyboard,1251,A
201206590,Apr/08/2023 06:07,OmranMk,Mike and palindrome,798,A
201206405,Apr/08/2023 06:02,OmranMk,Prepend and Append,1791,C
201206348,Apr/08/2023 06:01,OmranMk,Game with string,1104,B
201206322,Apr/08/2023 06:01,OmranMk,Prefix and Suffix Array,1794,A
201168934,Apr/07/2023 20:07,OmranMk,ABBB,1428,C
201153186,Apr/07/2023 17:43,OmranMk,Number Replacement,1744,A
201150014,Apr/07/2023 17:15,OmranMk,Distinct Split,1791,D
201143300,Apr/07/2023 16:20,OmranMk,Two Towers,1795,A
201128218,Apr/07/2023 14:01,OmranMk,Count the Number of Pairs,1800,B
201100834,Apr/07/2023 08:47,OmranMk,Another String Minimization Problem,1706,A
201097916,Apr/07/2023 08:07,OmranMk,Is It a Cat?,1800,A
200959624,Apr/06/2023 13:19,OmranMk,Atilla's Favorite Problem,1760,B
200958803,Apr/06/2023 13:09,OmranMk,Preparation for International Women's Day,1133,B
200957889,Apr/06/2023 12:57,OmranMk,GCD Sum,1498,A
200933432,Apr/06/2023 06:47,OmranMk,Fox and Number Game,389,A
200824566,Apr/05/2023 06:13,OmranMk,I'm bored with life,822,A
200824351,Apr/05/2023 06:10,OmranMk,Complicated GCD,664,A
200824266,Apr/05/2023 06:08,OmranMk,Modular Exponentiation,913,A
200785668,Apr/04/2023 20:14,OmranMk,Relatively Prime Pairs,1051,B
200693151,Apr/04/2023 17:35,OmranMk,NIT orz!,1696,A
200658299,Apr/04/2023 11:57,OmranMk,Almost All Divisors,1165,D
200652621,Apr/04/2023 10:56,OmranMk,Divisor Subtraction,1076,B
200650880,Apr/04/2023 10:36,OmranMk,Square Difference,1033,B
200637430,Apr/04/2023 07:56,OmranMk,Product of Three Numbers,1294,C
200560814,Apr/03/2023 15:24,OmranMk,Divide and Multiply,1609,A
200556690,Apr/03/2023 14:48,OmranMk,Fedor and New Game,467,B
200500814,Apr/03/2023 06:56,OmranMk,The Wall,340,A
200385703,Apr/02/2023 17:16,OmranMk,All are Same,1593,D1
200349033,Apr/02/2023 11:27,OmranMk,k Factorization,797,A
200346663,Apr/02/2023 11:04,OmranMk,T primes,230,B
200296910,Apr/01/2023 22:03,OmranMk,Divisors of Two Integers,1108,B
200245241,Apr/01/2023 18:51,OmranMk,Also Try Minecraft,1709,B
200227108,Apr/01/2023 18:37,OmranMk,Exam in BerSU (easy version),1185,C1
200146547,Apr/01/2023 17:45,OmranMk,Restoring Three Numbers,1154,A
200076332,Apr/01/2023 08:22,OmranMk,Powering the Hero (hard version),1800,C2
200071523,Apr/01/2023 07:23,OmranMk,Again Twenty Five!,630,A
